"feature","t","estimate","p"
"frequency",3.21963082615163,0.00388355850893419,0.0001999600079984
"time_ptsym",1.08403786219657,7.18053450048931e-05,0.115976804639072
"time_rdsym",0.873352506208141,6.87444486714013e-05,0.176764647070586
"volt_amp",0.620463674028583,1.72009824351196e-08,0.490501899620076
