subject,age,frequency,time_ptsym,time_rdsym,volt_amp
1,60,4.385190795198482,0.5171891015599442,0.4377253942145721,8.982624906060635e-06
1,91,4.214026502332588,0.48993571980369327,0.5162720074074322,2.050453557909306e-05
1,127,4.715810166053196,0.5138548458637691,0.48004118343283336,4.611924277292313e-05
1,156,4.827926435719012,0.499526055812144,0.5059906958946372,2.2940449530344742e-05
2,40,3.0415946190388383,0.49666109201648945,0.5001646865642809,3.740276574848368e-05
2,69,4.179939255861006,0.4869452930749528,0.5021534275687805,1.5522217879382326e-05
2,96,4.015270470241351,0.4939128173922409,0.49061147688206574,2.5435635778150642e-05
2,134,4.6605505105003555,0.5106911433841799,0.45632012430142277,3.2538027783521956e-05
2,161,4.077763710719461,0.4943538257222687,0.5148868588377074,4.036013166234974e-05
2,195,4.350200424577808,0.4968873678364793,0.5099333318062717,1.3215004047631643e-05
3,38,3.0866214500499876,0.4275896125093183,0.46709123629363125,0.000253348477346773
3,73,3.7974315162552084,0.5167135681713487,0.4826654534652764,6.9281266574619525e-06
3,101,3.7006957271027074,0.5031028778667761,0.5095826979116171,1.8195199671311658e-05
3,134,4.525235855098724,0.5128328348803222,0.4922701330445976,1.800855171135757e-05
3,159,3.9561721652454858,0.5409688359792355,0.45036801660278863,3.763552612844716e-05
3,190,3.981144250223272,0.5232170596127894,0.4642281149430465,1.821866351182545e-05
4,107,3.9672743675162843,0.5220779584903502,0.4838577919865686,1.7658546489567316e-05
4,139,3.850096714918137,0.5212898798701764,0.4665770419900316,1.4133375035009267e-05
4,167,3.37010886659005,0.5531605582339046,0.5083769388333454,1.1336167010270222e-05
5,135,4.747937892932037,0.501358787399948,0.48012469649057365,2.4078248628402353e-05
5,161,4.737204481314298,0.5019358428405862,0.4755404553770735,2.15014599220222e-05
5,190,4.737374208189495,0.5039017534534332,0.4970553801819574,1.847894368894053e-05
6,196,4.644578423733691,0.5180844323729218,0.40345221634944717,1.4157422262005403e-05
7,203,3.9849326526754267,0.5093761317814594,0.5278911596798872,2.0609607769123266e-05
9,72,3.801331696533012,0.47584493954116475,0.4782904413793768,1.8864939402416046e-05
9,99,4.1776927764517495,0.5188090728733277,0.507576125534054,1.543588445059277e-05
9,135,3.329948485169291,0.4927840755735493,0.5571680304735325,2.4789795128274057e-05
9,167,4.544838962422275,0.5021051111668456,0.5157198506475478,1.756763788116033e-05
11,113,4.006945799172434,0.5364387383143001,0.48364677053599703,7.248303600503291e-06
11,137,4.410299671016374,0.5171407358436514,0.4777528329854995,1.9934388375912196e-05
11,172,4.717867694656272,0.49056720872169834,0.48607275969150404,1.971432757650903e-05
12,128,4.696103896103896,0.5129578614427098,0.5399440836940838,7.901172691959133e-05
12,159,4.533236240924688,0.4987235736141668,0.4786913979291928,1.9969953084647928e-05
12,188,4.734136413277709,0.5208922399310516,0.4948395511043574,2.4069276134874748e-05
13,130,4.354972975379837,0.47574362388057717,0.5282219362756417,2.1058551493872814e-05
13,157,4.0950480837600445,0.5335100702707611,0.5006073941321076,1.8008683209942608e-05
13,191,3.989769545373782,0.4786094022531121,0.4991134930017728,2.010289819446851e-05
14,131,3.977686237980349,0.5240400312067913,0.45253513505099596,1.8815153790042674e-05
14,164,4.883415639451341,0.4743216123619487,0.4802659728096861,9.563131877377397e-05
14,193,5.094486695128906,0.5355541726439205,0.4647260891174161,2.1514300147145444e-05
15,94,4.017374048467058,0.5089653922582283,0.5179708289991938,1.159971715683555e-05
15,127,4.248290726910807,0.5166499152347254,0.503469036288773,1.5492666611851205e-05
15,154,4.307174736671309,0.5281645054322455,0.4929259605731493,2.1506580328354938e-05
17,79,4.134368067654105,0.5145421826230389,0.49291099969909746,1.2800921270541074e-05
17,103,4.250573055333979,0.5171392698623002,0.4748863734405741,1.3986709131032926e-05
17,138,4.0633574959827925,0.5008725940704749,0.5155121912309596,1.6035279298353374e-05
18,49,,,,
18,77,4.203800592264306,0.4886627214558736,0.48847804470910977,1.8080054752659468e-05
18,108,4.158304336282019,0.524866168076201,0.49716510971994393,2.2082871269379095e-05
19,132,4.5687944036764065,0.4594192220772764,0.48419773716293746,1.5050045498840911e-05
19,167,3.601510575583173,0.5112968638741834,0.4976112339993473,3.92897250076424e-05
20,131,4.5349130821911485,0.5124225767679487,0.4875022565276897,1.4037910471492422e-05
20,159,4.529726852553492,0.4449925936091921,0.527118510191555,1.6717550759825603e-05
20,192,4.444656012067358,0.49891633552312664,0.5213746705645266,2.0538657360701956e-05
21,91,4.377799664474328,0.5289785385781708,0.5018752899066495,1.9183698431711228e-05
21,125,4.564326899682757,0.5101315856665066,0.5288382178470785,3.046577413915869e-05
21,152,4.129984975039379,0.49094407610337587,0.4820475980536083,2.6215941575937867e-05
22,96,4.531397084679854,0.5555065285912444,0.4965207772883022,1.5909837054220797e-05
22,125,4.955153713070387,0.5911630481389444,0.5110994911166628,2.1985954950244112e-05
22,158,4.767778844320802,0.5068102355763983,0.5178164090064884,1.986027557681654e-05
22,193,4.9478291779227,0.5201432215417308,0.5050095106266284,2.704777670294843e-05
23,106,4.148019413719322,0.48574334063863456,0.5187610533080089,1.6119144455745335e-05
23,144,4.354589834040176,0.513511550290229,0.5177924871513272,1.2961751818175381e-05
23,174,4.761963692052652,0.5135289160129486,0.4905807431698709,1.3397127879431498e-05
24,109,3.8573493445491107,0.47920745083812216,0.521229461023649,1.6562539331720673e-05
24,149,4.192460125850843,0.5068586233190852,0.4991726442273738,1.5841231983059925e-05
24,178,4.090028779526764,0.48801627797894526,0.5291810655166231,1.808528187938876e-05
25,65,5.343555913987102,0.5139888582192946,0.4930409425607854,1.2732879575265849e-05
25,92,3.932753071555943,0.48862009408713847,0.470509925153596,1.684513359557162e-05
25,120,4.735000373323096,0.527715946655105,0.47192541227530643,1.4459627093064393e-05
