"feature","t","estimate","p"
"frequency",4.0974152211371,0.00512408619939358,0.0001999600079984
"time_ptsym",0.850819807070996,5.10208624097994e-05,0.232353529294141
"time_rdsym",-0.44970642991585,-2.97010948658404e-05,0.510497900419916
"volt_amp",1.9260134018371,3.93016956439428e-08,0.00839832033593281
