onset,duration,description
2016-04-18 10:49:15.864068,2.2623574144486653,BAD_
2016-04-18 10:49:36.695864,2.99878345498783,BAD_
2016-04-18 10:49:41.324818,1.1618004866179987,BAD_
2016-04-18 10:50:05.753041,0.9245742092457476,BAD_
2016-04-18 10:50:22.327947,0.8127376425855459,BAD_
2016-04-18 10:50:29.077127,13.333930660996652,BAD_
2016-04-18 10:50:50.953771,0.9732360097323608,BAD_
2016-04-18 10:50:59.743309,0.7664233576642516,BAD_
2016-04-18 10:51:30.642929,1.3333067674668089,BAD_
2016-04-18 10:54:23.836983,1.4963503649634615,BAD_
2016-04-18 10:54:27.620438,0.7116788321167746,BAD_
2016-04-18 10:54:38.639734,0.4420152091254863,BAD_
2016-04-18 10:54:54.001217,2.1350364963503807,BAD_
2016-04-18 10:55:17.553528,1.228710462287154,BAD_
2016-04-18 10:55:23.277372,2.5486618004866277,BAD_
2016-04-18 10:55:32.912548,0.7461977186312083,BAD_
2016-04-18 10:55:55.807786,5.681264982968344,BAD_
2016-04-18 10:56:08.379357,0.5641025641025408,BAD_
2016-04-18 10:56:21.238325,5.377059287969075,BAD_
