onset,duration,description
2015-12-10 09:39:33.283159,0.6780923994038748,BAD_
2015-12-10 09:39:35.019374,1.1251862891207152,BAD_
2015-12-10 09:39:46.272311,2.450490816161814,BAD_
2015-12-10 09:39:50.991991,2.9431804137773128,BAD_
2015-12-10 09:40:00.294050,0.4462242562929042,BAD_
2015-12-10 09:40:06.364382,0.2980625931445644,BAD_
2015-12-10 09:40:08.163934,2.988238992208501,BAD_
2015-12-10 09:41:11.117849,0.4405034324942818,BAD_
2015-12-10 09:41:13.111773,0.7806752228966758,BAD_
2015-12-10 09:41:14.713860,0.4992548435171358,BAD_
2015-12-10 09:41:28.413562,0.35767511177347444,BAD_
2015-12-10 09:41:49.750572,1.5690997600596006,BAD_
2015-12-10 09:41:54.728763,0.365126676602074,BAD_
2015-12-10 09:42:43.879285,2.563338301043217,BAD_
2015-12-10 09:43:42.184783,1.5217391304347814,BAD_
2015-12-10 09:45:06.380839,4.046199701937439,BAD_
2015-12-10 09:45:12.044028,1.6318926974664691,BAD_
2015-12-10 09:45:18.817501,1.6393442622950831,BAD_
2015-12-10 09:46:02.692996,1.0655737704917672,BAD_
