Fp1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,Pz,PO3,O1,Oz,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,Fp2,Fz,Cz
2.197666893472534,2.2539338818121117,2.098383838377858,2.1764743895019656,1.907743418789713,1.9847215641812102,1.7340643531642879,2.1320701224829812,2.3032215624415056,1.6990184437564757,2.024869881261027,2.176109578734545,2.537007428295244,1.935576693420902,1.8355927183246825,1.5751174457463826,1.4319574669350745,1.5470792350917946,2.078869282751948,1.8366785521419136,1.5041301775217106,2.409415431423554,2.066069497793847,1.8266424286400182,2.254138658399159,1.9141411297965285,2.142419112876367,2.295328151028795,2.168112095243594,2.093950055485576,1.9906743147995485,1.8903707591063952
2.9149675236005157,3.3157480589587713,2.286243565210938,2.9331742315173606,2.198686505067846,2.472159610925216,2.700258110551907,2.6971279764296505,3.0272820245739993,2.491847078652887,2.253052077425857,2.2697162277999676,2.3717821980354477,3.048732329304626,3.07867350898224,2.782743176175591,2.8029908817687716,2.7541293992700973,2.3812910286742572,2.677586010839296,2.138051556296292,2.3343712757960313,2.3466905561307048,2.0824380828729985,2.377199298138111,2.7812634898493043,2.765583071640637,2.6887793189151905,2.652331149552277,2.2054780255494686,2.775617617138826,2.6028327931986426
1.9228428175087926,2.368533647328716,1.8449646679559482,1.998797689453949,2.069806911193807,1.6346009371094188,1.6957558340298546,2.110770418582708,2.0385574013841103,1.732215370083305,2.0494218402728888,1.7564043566074476,2.3867099393378535,2.1618164999257226,2.119874180991818,1.7206985866745659,1.7170356858632843,1.931528331650166,1.989213395090838,2.465586228290144,2.0986582122072646,2.115161897259556,2.115718637258013,2.0800700847488125,2.3324219349215056,2.2625234625980406,2.352047232353905,2.040573936712491,2.021552919771377,1.8353930212490321,2.0634821749805763,2.039776135937391
1.8180460429268144,2.116345482937486,1.5442471300726015,2.163752653503306,2.1822542325839436,2.088753227814137,1.7716399245295096,2.1357572837736414,2.6770810024534737,1.8382204468575494,1.3798942001893668,1.9441303802825338,2.462116782510084,2.205542009141817,2.192470268260789,2.06718244114253,2.0182910594441856,1.9767733667080998,1.8902029790412673,2.0381469802906604,1.7477447411336227,2.2798073748849195,2.056962128348892,1.854003618800704,2.146146719486357,1.9388589846995352,2.064347918382835,2.112658953212748,1.931200869094541,1.7615898271080546,2.0725453642895517,2.382325267065069
1.8923342338488773,2.5477952048828443,1.8472229459378167,2.3629784223753525,2.024560587488502,1.8945145003275308,1.9307319605642606,1.8518706217745513,1.9480697766900876,2.086506800463997,2.0473279990226816,2.293722543250092,2.164505255573213,2.602388847816314,2.524610316988494,1.8631172270138154,1.8690480143346337,2.1758918954336632,2.3623826039724856,2.194917717350904,1.7002706494760869,2.286860332251226,2.116292164411119,1.5275464383895079,2.3708172285068336,2.216494430452934,2.361620739119771,1.9109915419432997,2.1887566932755136,1.8406981437573726,2.481732196923278,2.2397782446068524
3.08636826406655,2.2351018553005524,1.8656393186112508,2.1569328869082103,2.392982479527167,2.529636659361297,2.296783924947444,2.270881800525867,2.502608626762954,1.7848353650257855,2.2055954781190574,2.3173881410473367,2.8935124954002953,2.5951814629458396,2.5454290742537617,2.3229138367918742,2.4264994293615056,2.6645676359752457,2.4218014044582756,2.1449051693950794,1.498305283383053,2.3902802030373747,2.2329494739515776,1.7810003842517443,2.5579135367264443,2.5704807821703617,2.3470901278963723,2.2184264338717536,2.3590815254740307,2.249648206655025,2.584410418634633,2.176596697627886
1.6027257239662327,1.7403138521956645,1.3552495895271126,1.914750502855303,2.2555895882665453,1.6365056531429496,1.775776635271511,2.013036126599707,2.109252017016936,2.0638913652126285,2.051099164637896,1.8274294645025955,2.28592096757603,2.1709927506831743,2.2161372183267236,1.8245891255940219,1.982912380037901,2.0293154744108195,1.9177068012087797,1.725139909456511,1.2456293049616247,1.9303139087170558,1.7777723980570144,1.46210434933874,2.004863739077931,2.0266308807513327,2.1988319483824443,1.945801965483723,1.7834649844596628,1.5256945245846218,2.009069745999088,2.1549776698941625
1.7126714370507927,2.173290491071745,1.6199348745041262,2.0633495171480813,2.5592964990068237,1.7780443728781152,1.518216456344102,1.8900907887143543,2.417539567477923,1.709651616340787,1.7476297620833618,2.1970341448877684,2.568275225183082,2.0664071704632887,1.9502187347549997,1.48173173435028,1.4423346540410202,1.931414291053025,2.1085520973516805,1.9757374434726078,1.58373551810398,2.1100975667923434,1.9446200993529723,1.7329570557275356,2.2370191284637917,2.2774322569000938,2.0154891249544784,2.176450297344142,2.2375750652632806,1.9251471234210582,2.5835895815638876,2.0026684992698205
1.9503153626629872,2.002383614126652,1.7042338422397378,2.216745885958521,2.158170838550933,2.1254735809850374,1.8063756934975794,2.31489862635211,2.003630351813392,2.256042968975744,2.335252085835894,1.887431951500416,2.07963831861707,2.371246755306446,2.5116780941484325,2.2445038705635594,2.0530452003036483,2.4168656132342687,2.199694545914589,1.7747463181278356,1.6046562691592008,1.967073360345085,1.8274777109249587,1.8797788104359328,2.0550534132995972,2.1944719433587205,1.9085774806030156,1.7625477824297668,1.7667900072253016,1.8430082366573068,2.1850773119672064,1.9086119993202948
2.713529146426577,3.0360051035522093,2.222508624653689,2.1985225749372193,2.344032113530065,2.930518002897375,2.0180128252908167,2.3882947659721183,2.353952374329498,2.054871705350408,2.2207794361417714,2.387038714400728,2.799956636081378,2.240478677139403,2.361255087275644,2.0288196256868667,2.012062958665785,2.1395769859817517,2.572316800607499,2.372204213316776,1.6115577752622845,2.640416803013414,2.518587027609408,2.269827142892734,3.1400346258923575,2.7947170746289745,2.6477914535726454,2.7819826878518263,2.440707645113594,2.464994733556206,2.8498338078740026,2.2259835351754105
