,Fp1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,Pz,PO3,O1,Oz,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,Fp2,Fz,Cz
C3-lap,-2.1330282812677968e-12,-2.218561269453647e-12,-1.7965666063248788e-12,1.845089085869962e-12,3.693558015080716e-12,5.418368497522757e-12,2.023160586246944e-12,3.2367916457088445e-11,7.675749694388155e-13,4.848440515274469e-13,-4.7490321114197324e-12,-2.4484523791816354e-12,-7.936609334665979e-12,-5.7484622126287275e-12,-6.059272915321623e-12,-6.774823434442307e-12,-8.183717157472058e-12,-6.3649285247226614e-12,-5.5840324162314135e-12,-1.2700141173412419e-12,2.3780882606647106e-12,1.0897910108029147e-12,4.408531421006153e-12,2.8777842091743517e-12,2.827233951664106e-12,5.207057057722965e-13,4.789482448076607e-13,2.6809910881542083e-13,-7.515665138346841e-13,-9.162456013663191e-13,-1.115870549068217e-12,2.601489849260255e-12
C4-lap,-2.376835452986453e-12,-3.3250451155172546e-12,-2.322404287055989e-12,-2.1601889492802916e-12,-3.8795023896463956e-13,6.305029815235156e-13,9.687164262670094e-13,4.47337345649803e-12,3.069318025123258e-12,3.7633163031894106e-12,7.053939193770303e-13,4.2693765288263474e-12,1.486641645341028e-12,2.920841337032752e-12,2.8744939514268483e-13,2.2504083674998764e-12,-1.096082967251216e-12,3.065248137409693e-12,4.926896142803967e-12,-1.276427845678095e-12,5.83895184325356e-12,2.521179757246327e-13,3.7648332329903636e-11,4.833139992920642e-13,4.2633412884615006e-13,-3.576995455231205e-11,-2.8138457641443132e-12,-2.641566594730186e-12,-3.425299878584448e-12,-3.1576308559720803e-12,-2.5383907302282723e-12,-1.4174909710349382e-11
Pz-lap,-6.701211216470678e-12,-7.516259410538489e-12,-6.894212685004769e-12,-8.545516628163559e-12,-5.206460137607884e-12,-2.920948176280268e-12,-8.90320837270714e-12,-1.1131288595011218e-12,1.7407144007878463e-11,7.758161449559437e-12,-6.520538034803065e-12,1.9277398179902685e-11,1.0736209336675656e-10,1.768326878378538e-11,4.5218818543986985e-12,-2.8686168878275084e-12,-1.1558267389163944e-11,3.2293691108883875e-12,1.835687315547808e-11,-2.1139415369055654e-11,-8.756646878608312e-12,1.9918742139595906e-12,-8.357184645401195e-12,-1.217614735751832e-11,-9.46398077441358e-12,-1.3839026248616254e-11,-1.1052314980941232e-11,-7.518936015006641e-12,-1.2407821292405966e-11,-1.2361960595863411e-11,-6.664640433566237e-12,-5.101621733142003e-12
